sepal_length,sepal_width,petal_length,petal_width,species
5.0450704418122765,2.5082033965736628,3.0180239006876945,1.1649242848157884,Iris-versicolor
6.3255165189504625,2.115481194853783,4.5420519933104515,1.4136508852243423,Iris-versicolor
5.257496765255928,3.814303436502814,1.4706601686775684,0.3953482687473297,Iris-setosa
6.6751683607697485,3.201700273365714,5.785461129248143,2.362764048576355,Iris-virginica
5.5952367529273035,2.678166303038597,4.077750083431601,1.3692660734057427,Iris-versicolor
6.707484894245863,3.0938463509082794,5.048317101597786,2.3734695121645926,Iris-virginica
4.811740496754647,3.0379145838320256,1.4942680094391108,-0.04242757856845855,Iris-setosa
5.205867862701416,,1.6756543129682542,0.11226891428232194,Iris-setosa
4.4368315987288955,2.867771977186203,1.4284150224179029,0.38524937331676484,Iris-setosa
6.847619271278381,3.1322698891162872,5.878478740900755,2.16629653275013,Iris-virginica
6.478961469605565,3.149863124638796,5.078239022195339,1.78511144220829,Iris-virginica
4.994071455299855,2.981723975390196,1.2743234276771545,0.3334943175315857,Iris-setosa
5.131239324808121,3.0681645572185516,1.4740498125553132,0.15681702718138696,Iris-setosa
6.030854519456625,3.0708388477563857,4.630303993821144,1.4919241946190596,Iris-versicolor
5.60371932387352,2.383493411913514,3.837763353437185,1.0538455866277219,Iris-versicolor
7.371688497066498,3.2994621366262438,6.230377942323685,1.837925347685814,Iris-virginica
5.108534216880798,3.2358805030584334,1.5064564928412438,0.3544225595891476,Iris-setosa
4.680727793648839,3.0494588285684587,1.4975912630558015,0.17149647027254106,Iris-setosa
6.6781487695872785,3.3155489509925244,5.655945603549481,2.4028812050819397,Iris-virginica
5.780425319075585,3.234061186015606,4.81920535415411,1.7654694572091103,Iris-versicolor
5.472064116597176,3.4671594366431235,1.3658651858568192,0.34366882368922236,Iris-setosa
6.365979197621345,,4.964904913306237,1.8172111317515374,Iris-virginica
7.6752096772193905,3.002284960122779,6.625517534464597,2.076275706663728,Iris-virginica
7.709651673026383,2.9177140846848486,6.5751320540905,1.8836925104260445,Iris-virginica
5.61432736068964,3.1597702354192734,4.089166481792927,1.2388123355805873,Iris-versicolor
4.421579948067665,3.298712858557701,1.5034684032201766,0.2763149805366993,Iris-setosa
5.219757182896137,3.7988570973277094,1.5409292876720428,0.3390295930206776,Iris-setosa
5.347375543415547,3.7675432950258254,1.357150773704052,0.2218473941087723,Iris-setosa
7.04535078406334,3.041410031169653,5.094427058100701,1.5137772522866726,Iris-versicolor
5.436126783490181,2.594503588974476,4.023767931386828,1.4034531742334366,Iris-versicolor
5.673096305504441,4.409564795531333,,0.3705180320888758,Iris-setosa
5.1591448135674,3.573194831609726,1.32019172757864,0.37481952011585234,Iris-setosa
5.847159630805254,2.7436191931366922,,0.7486814558506012,Iris-versicolor
5.593303369265049,2.9726044327020644,3.707020750641823,1.475422802567482,Iris-versicolor
4.837367563694715,3.1240734234452248,1.3040522202849387,0.020730695128440862,Iris-setosa
4.747376191616058,2.905507519841194,1.4120338946580886,0.18025107979774474,Iris-setosa
6.6439977891743185,3.239682188630104,4.464542137086392,1.4003552350972313,Iris-versicolor
6.2717798735946415,2.521065128967166,,1.8966255931649356,Iris-virginica
7.665933454036713,3.8029237503185866,6.463494324684143,2.0868397653102875,Iris-virginica
5.040515514463186,3.4663439951837063,,0.31454813182353974,Iris-setosa
6.435412583500147,2.8275855176150797,5.661419453471899,2.0504354596138,Iris-virginica
4.496342448890209,3.0982696384191515,,0.2428527556359768,Iris-setosa
5.959185816347599,2.2279179960489275,5.1896384209394455,1.4539492800831795,Iris-virginica
5.452427685260773,3.3917453438043594,1.4968601047992707,0.09169815182685853,Iris-setosa
6.193847703933716,3.229915316402912,5.947275694459677,2.5548365600407124,Iris-virginica
