Id, Label
10000,4
10001,0
10002,0
10003,4
10004,1
10005,1
10006,1
10007,4
10008,2
10009,1
10010,2
10011,2
10012,0
10013,2
10014,2
10015,4
10016,0
10017,3
10018,3
10019,0
10020,4
10021,2
10022,3
10023,1
10024,3
10025,2
10026,0
10027,4
10028,2
10029,3
10030,4
10031,1
10032,2
10033,4
10034,3
10035,3
10036,2
10037,0
10038,0
10039,2
10040,3
10041,0
10042,1
10043,0
10044,0
10045,3
10046,1
10047,3
10048,1
10049,0
10050,3
10051,0
10052,4
10053,2
10054,3
10055,2
10056,1
10057,0
10058,1
10059,3
10060,4
10061,1
10062,2
10063,0
10064,0
10065,1
10066,1
10067,2
10068,0
10069,2
10070,2
10071,4
10072,2
10073,2
10074,0
10075,4
10076,1
10077,3
10078,2
10079,4
10080,4
10081,4
10082,4
10083,2
10084,1
10085,1
10086,3
10087,2
10088,1
10089,1
10090,1
10091,3
10092,4
10093,2
10094,4
10095,4
10096,0
10097,3
10098,1
10099,0
10100,1
10101,0
10102,1
10103,3
10104,2
10105,0
10106,3
10107,1
10108,4
10109,0
10110,0
10111,0
10112,0
10113,3
10114,1
10115,1
10116,3
10117,3
10118,3
10119,2
10120,2
10121,3
10122,3
10123,1
10124,3
10125,1
10126,2
10127,3
10128,2
10129,1
10130,3
10131,2
10132,0
10133,1
10134,0
10135,2
10136,1
10137,2
10138,0
10139,1
10140,2
10141,3
10142,1
10143,4
10144,3
10145,0
10146,0
10147,4
10148,0
10149,2
10150,1
10151,3
10152,4
10153,2
10154,1
10155,2
10156,3
10157,3
10158,1
10159,4
10160,3
10161,2
10162,4
10163,2
10164,2
10165,1
10166,2
10167,4
10168,2
10169,4
10170,2
10171,3
10172,2
10173,3
10174,4
10175,1
10176,0
10177,2
10178,4
10179,1
10180,3
10181,2
10182,3
10183,4
10184,4
10185,0
10186,1
10187,4
10188,4
10189,3
10190,2
10191,3
10192,0
10193,3
10194,1
10195,2
10196,0
10197,4
10198,1
10199,1
10200,3
10201,3
10202,0
10203,3
10204,1
10205,3
10206,2
10207,1
10208,2
10209,4
10210,3
10211,2
10212,3
10213,1
10214,4
10215,2
10216,1
10217,0
10218,4
10219,3
10220,1
10221,3
10222,4
10223,1
10224,1
10225,1
10226,2
10227,1
10228,2
10229,0
10230,4
10231,2
10232,1
10233,1
10234,2
10235,3
10236,4
10237,3
10238,2
10239,1
10240,0
10241,2
10242,4
10243,1
10244,2
10245,0
10246,0
10247,0
10248,1
10249,2
10250,2
10251,2
10252,4
10253,2
10254,4
10255,2
10256,3
10257,2
10258,1
10259,0
10260,2
10261,4
10262,1
10263,3
10264,0
10265,2
10266,1
10267,1
10268,3
10269,0
10270,4
10271,4
10272,2
10273,2
10274,1
10275,4
10276,1
10277,2
10278,1
10279,4
10280,4
10281,1
10282,4
10283,1
10284,3
10285,4
10286,2
10287,4
10288,2
10289,0
10290,3
10291,2
10292,2
10293,1
10294,1
10295,1
10296,2
10297,2
10298,1
10299,2
10300,4
10301,2
10302,2
10303,4
10304,0
10305,1
10306,1
10307,0
10308,3
10309,2
10310,4
10311,0
10312,4
10313,3
10314,3
10315,3
10316,3
10317,4
10318,4
10319,2
10320,3
10321,4
10322,2
10323,1
10324,4
10325,0
10326,4
10327,3
10328,4
10329,3
10330,0
10331,3
10332,3
10333,4
10334,2
10335,0
10336,4
10337,1
10338,3
10339,0
10340,1
10341,2
10342,0
10343,2
10344,3
10345,3
10346,3
10347,3
10348,1
10349,0
10350,2
10351,2
10352,2
10353,3
10354,3
10355,3
10356,2
10357,3
10358,3
10359,0
10360,0
10361,3
10362,4
10363,3
10364,0
10365,3
10366,1
10367,0
10368,3
10369,4
10370,0
10371,1
10372,2
10373,2
10374,1
10375,1
10376,3
10377,2
10378,2
10379,4
10380,0
10381,3
10382,2
10383,0
10384,4
10385,3
10386,0
10387,0
10388,4
10389,0
10390,2
10391,0
10392,2
10393,1
10394,3
10395,0
10396,4
10397,3
10398,2
10399,2
10400,4
10401,3
10402,1
10403,1
10404,0
10405,0
10406,0
10407,1
10408,2
10409,4
10410,0
10411,3
10412,3
10413,4
10414,4
10415,0
10416,4
10417,1
10418,0
10419,1
10420,4
10421,0
10422,1
10423,2
10424,2
10425,0
10426,4
10427,4
10428,1
10429,1
10430,3
10431,1
10432,1
10433,2
10434,2
10435,4
10436,4
10437,0
10438,2
10439,3
10440,4
10441,0
10442,2
10443,2
10444,1
10445,1
10446,4
10447,2
10448,3
10449,3
10450,4
10451,4
10452,1
10453,3
10454,1
10455,1
10456,0
10457,2
10458,3
10459,2
10460,0
10461,4
10462,3
10463,3
10464,1
10465,2
10466,4
10467,0
10468,0
10469,1
10470,3
10471,1
10472,3
10473,2
10474,1
10475,2
10476,4
10477,4
10478,2
10479,0
10480,4
10481,3
10482,0
10483,1
10484,4
10485,0
10486,2
10487,4
10488,1
10489,2
10490,1
10491,3
10492,1
10493,1
10494,3
10495,1
10496,4
10497,4
10498,0
10499,4
10500,1
10501,0
10502,2
10503,4
10504,0
10505,3
10506,2
10507,3
10508,2
10509,4
10510,3
10511,3
10512,0
10513,0
10514,3
10515,3
10516,2
10517,1
10518,2
10519,1
10520,2
10521,0
10522,2
10523,2
10524,3
10525,3
10526,3
10527,3
10528,2
10529,0
10530,0
10531,1
10532,0
10533,3
10534,1
10535,2
10536,1
10537,0
10538,1
10539,1
10540,0
10541,2
10542,0
10543,1
10544,1
10545,1
10546,4
10547,1
10548,4
10549,3
10550,3
10551,0
10552,4
10553,0
10554,1
10555,2
10556,2
10557,2
10558,0
10559,4
10560,2
10561,4
10562,1
10563,2
10564,3
10565,1
10566,0
10567,0
10568,4
10569,0
10570,4
10571,3
10572,0
10573,0
10574,4
10575,2
10576,0
10577,2
10578,1
10579,2
10580,2
10581,4
10582,1
10583,3
10584,4
10585,3
10586,2
10587,2
10588,2
10589,1
10590,2
10591,1
10592,1
10593,4
10594,0
10595,3
10596,0
10597,2
10598,3
10599,1
10600,2
10601,0
10602,4
10603,0
10604,0
10605,2
10606,4
10607,2
10608,1
10609,3
10610,4
10611,2
10612,0
10613,1
10614,1
10615,3
10616,3
10617,3
10618,3
10619,0
10620,3
10621,2
10622,2
10623,3
10624,1
10625,2
10626,1
10627,0
10628,1
10629,3
10630,4
10631,1
10632,3
10633,1
10634,0
10635,1
10636,3
10637,2
10638,1
10639,0
10640,2
10641,2
10642,3
10643,3
10644,2
10645,3
10646,4
10647,4
10648,1
10649,4
10650,4
10651,3
10652,4
10653,3
10654,3
10655,4
10656,3
10657,0
10658,4
10659,4
10660,4
10661,0
10662,0
10663,4
10664,1
10665,3
10666,4
10667,0
10668,0
10669,3
10670,1
10671,0
10672,4
10673,2
10674,3
10675,1
10676,2
10677,1
10678,0
10679,3
10680,0
10681,0
10682,3
10683,1
10684,1
10685,2
10686,0
10687,1
10688,3
10689,3
10690,1
10691,0
10692,1
10693,1
10694,3
10695,4
10696,1
10697,2
10698,2
10699,3
10700,3
10701,1
10702,2
10703,2
10704,0
10705,0
10706,1
10707,2
10708,2
10709,0
10710,0
10711,1
10712,4
10713,2
10714,2
10715,0
10716,0
10717,1
10718,4
10719,1
10720,4
10721,2
10722,4
10723,4
10724,4
10725,3
10726,3
10727,1
10728,1
10729,2
10730,0
10731,0
10732,3
10733,4
10734,4
10735,2
10736,2
10737,2
10738,4
10739,3
10740,3
10741,1
10742,4
10743,1
10744,1
10745,4
10746,0
10747,2
10748,4
10749,3
10750,2
10751,2
10752,2
10753,1
10754,4
10755,0
10756,2
10757,4
10758,0
10759,3
10760,1
10761,0
10762,2
10763,3
10764,4
10765,4
10766,3
10767,0
10768,3
10769,2
10770,0
10771,1
10772,1
10773,1
10774,3
10775,3
10776,4
10777,0
10778,3
10779,0
10780,3
10781,2
10782,2
10783,2
10784,4
10785,3
10786,1
10787,3
10788,1
10789,2
10790,1
10791,4
10792,4
10793,0
10794,2
10795,1
10796,1
10797,1
10798,1
10799,1
10800,1
10801,4
10802,1
10803,3
10804,0
10805,0
10806,1
10807,0
10808,4
10809,1
10810,4
10811,1
10812,1
10813,4
10814,0
10815,3
10816,2
10817,2
10818,4
10819,2
10820,4
10821,3
10822,1
10823,3
10824,2
10825,1
10826,1
10827,4
10828,3
10829,2
10830,0
10831,1
10832,4
10833,3
10834,2
10835,2
10836,4
10837,4
10838,2
10839,0
10840,3
10841,2
10842,0
10843,3
10844,3
10845,3
10846,0
10847,4
10848,2
10849,3
10850,1
10851,4
10852,0
10853,4
10854,0
10855,1
10856,4
10857,4
10858,3
10859,4
10860,4
10861,1
10862,1
10863,3
10864,4
10865,3
10866,0
10867,3
10868,3
10869,0
10870,1
10871,4
10872,2
10873,4
10874,2
10875,3
10876,2
10877,4
10878,2
10879,3
10880,3
10881,4
10882,2
10883,0
10884,4
10885,3
10886,1
10887,2
10888,3
10889,0
10890,4
10891,0
10892,1
10893,4
10894,3
10895,4
10896,2
10897,1
10898,4
10899,3
10900,0
10901,3
10902,2
10903,3
10904,2
10905,0
10906,0
10907,1
10908,0
10909,1
10910,1
10911,4
10912,2
10913,1
10914,2
10915,2
10916,2
10917,0
10918,2
10919,1
10920,3
10921,1
10922,2
10923,4
10924,1
10925,0
10926,4
10927,3
10928,2
10929,4
10930,4
10931,3
10932,3
10933,3
10934,4
10935,3
10936,0
10937,1
10938,4
10939,1
10940,1
10941,4
10942,4
10943,1
10944,0
10945,3
10946,2
10947,2
10948,4
10949,4
10950,2
10951,0
10952,3
10953,4
10954,1
10955,4
10956,4
10957,0
10958,1
10959,1
10960,3
10961,4
10962,2
10963,0
10964,3
10965,3
10966,1
10967,3
10968,4
10969,0
10970,0
10971,4
10972,2
10973,0
10974,2
10975,4
10976,3
10977,1
10978,1
10979,4
10980,0
10981,4
10982,1
10983,3
10984,4
10985,3
10986,3
10987,4
10988,4
10989,0
10990,4
10991,1
10992,2
10993,1
10994,4
10995,2
10996,4
10997,1
10998,1
10999,1
11000,4
11001,2
11002,1
11003,2
11004,1
11005,3
11006,2
11007,3
11008,0
11009,0
11010,1
11011,1
